CustomerKey,age_group
301,Senior
325,Adult
554,Senior
1042,Middle Age
1314,Middle Age
1568,Adult
1585,Young Adults
1626,Young Adults
1642,Middle Age
1863,Adult
2238,Middle Age
2248,Young Adults
2435,Adult
2469,Senior
2512,Young Adults
2792,Adult
3002,Teen
3203,Young Adults
3327,Senior
3575,Senior
3964,Senior
4174,Young Adults
5097,Senior
5445,Middle Age
5962,Senior
6258,Adult
6308,Teen
7109,Adult
7566,Young Adults
7700,Adult
7783,Middle Age
8098,Middle Age
8181,Young Adults
8789,Teen
8945,Senior
9167,Adult
9184,Middle Age
9456,Senior
9812,Senior
9915,Young Adults
10039,Senior
10299,Senior
10393,Adult
11035,Senior
12160,Middle Age
12365,Middle Age
12392,Middle Age
12649,Middle Age
12729,Senior
12859,Senior
13045,Middle Age
13071,Adult
13365,Middle Age
14069,Senior
14180,Teen
14906,Young Adults
14962,Senior
14988,Middle Age
15391,Young Adults
15718,Middle Age
16716,Young Adults
17412,Adult
17811,Young Adults
18309,Young Adults
18470,Middle Age
18493,Young Adults
18887,Adult
19082,Senior
19207,Young Adults
19404,Young Adults
19534,Middle Age
19726,Adult
19753,Young Adults
20069,Adult
20092,Senior
20237,Young Adults
20623,Young Adults
20946,Teen
21203,Middle Age
21424,Senior
21460,Middle Age
21523,Adult
21575,Young Adults
21819,Teen
22540,Young Adults
23203,Young Adults
23267,Middle Age
23320,Middle Age
23599,Young Adults
25771,Middle Age
25864,Young Adults
26477,Middle Age
26642,Adult
26728,Adult
27356,Adult
27492,Young Adults
27616,Young Adults
27945,Adult
28690,Young Adults
29041,Senior
29278,Young Adults
29475,Middle Age
29555,Young Adults
29647,Middle Age
29689,Middle Age
29812,Middle Age
29973,Senior
30090,Middle Age
31086,Young Adults
31164,Senior
31236,Middle Age
31784,Middle Age
32037,Young Adults
32455,Young Adults
32488,Middle Age
32511,Middle Age
32538,Young Adults
33036,Middle Age
33205,Senior
33444,Middle Age
34081,Senior
34143,Young Adults
34431,Senior
34850,Middle Age
34915,Adult
35257,Adult
35703,Middle Age
35733,Middle Age
35795,Young Adults
36112,Senior
36336,Young Adults
36418,Senior
36507,Middle Age
37070,Adult
37251,Senior
37408,Adult
37580,Senior
37585,Senior
37802,Young Adults
37991,Senior
38006,Middle Age
38036,Middle Age
38195,Adult
38212,Young Adults
38613,Young Adults
39246,Adult
39268,Adult
39314,Young Adults
39582,Adult
39592,Middle Age
39894,Senior
39927,Young Adults
40363,Young Adults
40443,Senior
40649,Adult
40669,Middle Age
41281,Senior
41570,Senior
42177,Middle Age
42364,Senior
42408,Young Adults
42840,Senior
42956,Senior
43784,Senior
43840,Senior
44493,Middle Age
44728,Senior
45172,Young Adults
45250,Middle Age
45436,Senior
45781,Senior
45814,Middle Age
46155,Middle Age
46917,Teen
46996,Young Adults
47518,Senior
48383,Senior
48466,Young Adults
48733,Young Adults
49400,Middle Age
49606,Senior
49776,Senior
49950,Young Adults
50075,Middle Age
50681,Senior
50741,Senior
51172,Middle Age
51314,Middle Age
51718,Senior
52536,Young Adults
52694,Adult
53318,Middle Age
53920,Young Adults
54089,Senior
54161,Young Adults
54752,Middle Age
54987,Senior
55039,Middle Age
55066,Senior
55084,Middle Age
55411,Adult
55914,Young Adults
56791,Young Adults
56834,Middle Age
56999,Young Adults
57307,Adult
57374,Senior
58066,Senior
58710,Senior
58919,Middle Age
59159,Senior
59304,Middle Age
59422,Young Adults
59529,Young Adults
59842,Senior
59961,Senior
60150,Middle Age
60407,Senior
60411,Senior
60454,Middle Age
60722,Young Adults
60892,Middle Age
61718,Middle Age
61773,Teen
61881,Young Adults
61947,Young Adults
62017,Senior
62076,Senior
62125,Adult
62163,Middle Age
62416,Senior
62590,Adult
63342,Adult
63681,Senior
64037,Senior
64511,Middle Age
64764,Young Adults
64842,Adult
65163,Middle Age
65180,Adult
65269,Senior
65283,Senior
65372,Young Adults
65507,Adult
66352,Middle Age
67066,Senior
67157,Senior
67217,Adult
67369,Young Adults
67455,Young Adults
67744,Senior
68082,Adult
68537,Adult
68882,Young Adults
69066,Young Adults
69557,Adult
69645,Young Adults
69707,Senior
69754,Middle Age
69812,Adult
69959,Adult
70453,Adult
70544,Young Adults
70584,Young Adults
70598,Middle Age
70912,Adult
71218,Senior
71220,Young Adults
71282,Senior
71333,Adult
71343,Adult
71511,Young Adults
71625,Adult
72003,Adult
72194,Adult
