CustomerKey,churn_status
301,One-Hit-Wonder
325,Loyalist
554,"Potential Loyalist"
1042,One-Hit-Wonder
1314,One-Hit-Wonder
1568,Loyalist
1585,"Potential Loyalist"
1626,"Potential Loyalist"
1642,One-Hit-Wonder
1863,"Potential Loyalist"
2238,"Potential Loyalist"
2248,One-Hit-Wonder
2435,"Potential Loyalist"
2469,One-Hit-Wonder
2512,"Potential Loyalist"
2792,One-Hit-Wonder
3002,One-Hit-Wonder
3203,"Potential Loyalist"
3327,One-Hit-Wonder
3575,One-Hit-Wonder
3964,One-Hit-Wonder
4174,"Potential Loyalist"
5097,One-Hit-Wonder
5445,One-Hit-Wonder
5962,"Potential Loyalist"
6258,One-Hit-Wonder
6308,One-Hit-Wonder
7109,One-Hit-Wonder
7566,One-Hit-Wonder
7700,One-Hit-Wonder
7783,One-Hit-Wonder
8098,One-Hit-Wonder
8181,One-Hit-Wonder
8789,One-Hit-Wonder
8945,One-Hit-Wonder
9167,One-Hit-Wonder
9184,"Potential Loyalist"
9456,"Potential Loyalist"
9812,Loyalist
9915,One-Hit-Wonder
10039,One-Hit-Wonder
10299,One-Hit-Wonder
10393,One-Hit-Wonder
11035,One-Hit-Wonder
12160,"Potential Loyalist"
12365,One-Hit-Wonder
12392,One-Hit-Wonder
12649,One-Hit-Wonder
12729,Loyalist
12859,One-Hit-Wonder
13045,"Potential Loyalist"
13071,One-Hit-Wonder
13365,One-Hit-Wonder
14069,One-Hit-Wonder
14180,One-Hit-Wonder
14906,One-Hit-Wonder
14962,"Potential Loyalist"
14988,One-Hit-Wonder
15391,One-Hit-Wonder
15718,One-Hit-Wonder
16716,One-Hit-Wonder
17412,Loyalist
17811,One-Hit-Wonder
18309,One-Hit-Wonder
18470,Loyalist
18493,One-Hit-Wonder
18887,One-Hit-Wonder
19082,Loyalist
19207,"Potential Loyalist"
19404,One-Hit-Wonder
19534,One-Hit-Wonder
19726,One-Hit-Wonder
19753,"Potential Loyalist"
20069,Loyalist
20092,"Potential Loyalist"
20237,One-Hit-Wonder
20623,Loyalist
20946,One-Hit-Wonder
21203,One-Hit-Wonder
21424,"Potential Loyalist"
21460,One-Hit-Wonder
21523,One-Hit-Wonder
21575,One-Hit-Wonder
21819,"Potential Loyalist"
22540,"Potential Loyalist"
23203,Loyalist
23267,One-Hit-Wonder
23320,One-Hit-Wonder
23599,One-Hit-Wonder
25771,Loyalist
25864,Loyalist
26477,One-Hit-Wonder
26642,One-Hit-Wonder
26728,One-Hit-Wonder
27356,"Potential Loyalist"
27492,Loyalist
27616,"Potential Loyalist"
27945,One-Hit-Wonder
28690,"Potential Loyalist"
29041,One-Hit-Wonder
29278,One-Hit-Wonder
29475,One-Hit-Wonder
29555,Loyalist
29647,One-Hit-Wonder
29689,"Potential Loyalist"
29812,One-Hit-Wonder
29973,"Potential Loyalist"
30090,"Potential Loyalist"
31086,One-Hit-Wonder
31164,One-Hit-Wonder
31236,One-Hit-Wonder
31784,One-Hit-Wonder
32037,"Potential Loyalist"
32455,One-Hit-Wonder
32488,One-Hit-Wonder
32511,One-Hit-Wonder
32538,One-Hit-Wonder
33036,"Potential Loyalist"
33205,Loyalist
33444,Loyalist
34081,Loyalist
34143,One-Hit-Wonder
34431,One-Hit-Wonder
34850,"Potential Loyalist"
34915,One-Hit-Wonder
35257,"Potential Loyalist"
35703,One-Hit-Wonder
35733,Loyalist
35795,One-Hit-Wonder
36112,"Potential Loyalist"
36336,One-Hit-Wonder
36418,One-Hit-Wonder
36507,"Potential Loyalist"
37070,Loyalist
37251,One-Hit-Wonder
37408,One-Hit-Wonder
37580,One-Hit-Wonder
37585,One-Hit-Wonder
37802,Loyalist
37991,"Potential Loyalist"
38006,One-Hit-Wonder
38036,One-Hit-Wonder
38195,Loyalist
38212,One-Hit-Wonder
38613,Loyalist
39246,One-Hit-Wonder
39268,One-Hit-Wonder
39314,One-Hit-Wonder
39582,"Potential Loyalist"
39592,One-Hit-Wonder
39894,One-Hit-Wonder
39927,One-Hit-Wonder
40363,One-Hit-Wonder
40443,One-Hit-Wonder
40649,"Potential Loyalist"
40669,One-Hit-Wonder
41281,"Potential Loyalist"
41570,One-Hit-Wonder
42177,One-Hit-Wonder
42364,"Potential Loyalist"
42408,One-Hit-Wonder
42840,One-Hit-Wonder
42956,"Potential Loyalist"
43784,One-Hit-Wonder
43840,Loyalist
44493,"Potential Loyalist"
44728,Loyalist
45172,One-Hit-Wonder
45250,One-Hit-Wonder
45436,Loyalist
45781,One-Hit-Wonder
45814,One-Hit-Wonder
46155,One-Hit-Wonder
46917,One-Hit-Wonder
46996,One-Hit-Wonder
47518,One-Hit-Wonder
48383,One-Hit-Wonder
48466,Loyalist
48733,One-Hit-Wonder
49400,"Potential Loyalist"
49606,One-Hit-Wonder
49776,"Potential Loyalist"
49950,One-Hit-Wonder
50075,One-Hit-Wonder
50681,One-Hit-Wonder
50741,One-Hit-Wonder
51172,"Potential Loyalist"
51314,"Potential Loyalist"
51718,One-Hit-Wonder
52536,One-Hit-Wonder
52694,One-Hit-Wonder
53318,One-Hit-Wonder
53920,"Potential Loyalist"
54089,"Potential Loyalist"
54161,One-Hit-Wonder
54752,One-Hit-Wonder
54987,One-Hit-Wonder
55039,"Potential Loyalist"
55066,One-Hit-Wonder
55084,One-Hit-Wonder
55411,"Potential Loyalist"
55914,"Potential Loyalist"
56791,One-Hit-Wonder
56834,One-Hit-Wonder
56999,One-Hit-Wonder
57307,One-Hit-Wonder
57374,One-Hit-Wonder
58066,"Potential Loyalist"
58710,"Potential Loyalist"
58919,One-Hit-Wonder
59159,"Potential Loyalist"
59304,One-Hit-Wonder
59422,"Potential Loyalist"
59529,One-Hit-Wonder
59842,One-Hit-Wonder
59961,One-Hit-Wonder
60150,One-Hit-Wonder
60407,One-Hit-Wonder
60411,"Potential Loyalist"
60454,One-Hit-Wonder
60722,One-Hit-Wonder
60892,One-Hit-Wonder
61718,"Potential Loyalist"
61773,Loyalist
61881,"Potential Loyalist"
61947,"Potential Loyalist"
62017,One-Hit-Wonder
62076,One-Hit-Wonder
62125,One-Hit-Wonder
62163,Loyalist
62416,"Potential Loyalist"
62590,One-Hit-Wonder
63342,One-Hit-Wonder
63681,One-Hit-Wonder
64037,One-Hit-Wonder
64511,"Potential Loyalist"
64764,"Potential Loyalist"
64842,One-Hit-Wonder
65163,"Potential Loyalist"
65180,One-Hit-Wonder
65269,Loyalist
